ID	Type	CISD1	G6PD	AKR1C3	HSBP1	ALOX5	ACO1	PHKG2	PGD	GSS	STEAP3	GCLM	PEBP1	CBS	AIFM2	ALOX12	ABCC1	KEAP1	CS
GSM1539199_treat	Tumor	8.42919	8.116293	7.327857	8.850119	8.846524	7.506064	7.184658	10.00465	6.976528	6.722351	7.450784	8.092901	7.08991	6.779815	6.906401	6.690212	7.194168	8.566241
GSM1539200_treat	Tumor	7.708884	8.680654	7.26852	8.394944	8.963489	7.70989	7.42081	10.993887	7.341412	6.783906	7.21395	8.652846	7.27045	6.773105	7.911968	6.815976	7.358515	8.710006
GSM1539201_treat	Tumor	7.976007	8.856356	7.117384	8.770781	8.941636	7.756066	7.433971	11.217468	7.550183	6.712182	7.236617	7.853371	7.058482	6.794392	7.739997	6.735617	7.479661	8.846869
GSM1539202_treat	Tumor	7.908136	8.732363	7.270095	8.516544	9.088151	7.596907	7.392042	11.136455	7.455839	6.781683	7.290819	8.044827	6.99222	6.807357	6.975831	6.898975	7.532119	8.663892
GSM1539203_treat	Tumor	7.760349	8.692962	7.392827	8.912	9.161964	7.43751	7.369176	11.666733	7.035044	6.777096	7.416962	7.811119	8.20566	6.645804	7.333135	6.650508	7.271883	8.357022
GSM1539204_treat	Tumor	7.912181	8.747107	7.355758	8.230203	9.017009	7.817362	7.191671	10.922535	7.233138	6.631226	7.293496	8.327319	7.11182	6.737259	7.127097	6.886238	7.405681	8.672894
GSM1539205_treat	Tumor	7.988828	8.592413	8.066726	8.435834	8.707894	7.728672	7.402538	10.498606	7.396091	6.789267	7.344631	7.971815	7.468802	6.738948	7.585808	6.785875	7.481204	8.745399
GSM1539206_treat	Tumor	8.029761	8.356963	7.398882	8.974383	8.845871	7.483123	7.327834	10.706952	7.339193	6.73755	7.330161	7.756867	7.09209	6.822769	7.108314	6.758442	7.543103	8.638545
GSM1539207_treat	Tumor	8.115822	8.417623	7.305951	8.693763	8.974189	7.492238	7.35799	11.032086	7.070149	6.702194	7.438233	7.962975	7.424312	6.835589	7.00599	6.753357	7.410887	8.452987
GSM1539208_treat	Tumor	8.246012	8.527574	7.361192	8.729631	8.770147	7.460561	7.373317	10.667468	7.229821	6.818038	7.330678	8.115835	6.970328	6.723519	7.620508	6.819496	7.369754	8.468227
GSM1539209_treat	Tumor	7.909622	8.407216	7.318068	8.529057	8.771466	7.548041	7.374999	10.679222	7.350069	6.749802	7.417721	8.314224	6.916889	6.788529	7.056624	6.810263	7.412741	8.712859
GSM1539210_treat	Tumor	8.188022	8.527574	7.741259	8.698159	8.891657	7.625353	7.325295	10.967495	7.214938	6.929538	7.404904	8.188092	7.676647	6.668453	7.190707	6.954539	7.422971	8.690409
GSM1539211_treat	Tumor	7.639892	8.457193	7.391982	8.750337	8.866765	7.609641	7.354909	10.874692	7.59378	6.806419	7.2964	7.872686	7.553061	6.783526	7.830993	6.751967	7.664592	8.772792
GSM1539212_treat	Tumor	8.33171	8.328881	8.290609	8.914675	8.777991	7.499827	7.27317	10.643384	7.345952	6.662222	7.327796	7.861878	6.821988	6.686315	7.443446	6.799207	7.336929	8.658345
GSM1539213_treat	Tumor	7.988447	8.422139	7.176286	8.720492	8.882323	7.713523	7.211887	10.480775	7.282602	6.743815	7.287201	7.819664	6.830648	6.791565	7.394451	6.813043	7.394521	8.726794
GSM1539214_treat	Tumor	8.016042	8.543266	7.348848	8.573237	8.682154	7.580041	7.214284	10.723907	7.245206	6.69476	7.437855	8.251566	6.90125	6.761383	7.24559	6.781265	7.425992	8.515647
GSM1539215_treat	Tumor	8.192799	8.237937	8.036328	8.722818	8.597946	7.878298	7.265561	9.443113	7.208388	6.96144	7.190674	8.661516	6.784323	6.73409	6.942562	6.612148	6.987791	8.545879
GSM1539216_treat	Tumor	8.63585	8.014529	7.568325	8.964741	8.521301	7.605501	7.179068	10.090011	7.22647	6.791554	7.175235	8.228772	6.955665	6.767523	6.988649	6.781389	7.272265	8.483733
GSM1539217_treat	Tumor	8.033483	8.493944	7.499742	8.89073	8.841689	7.6134	7.253419	10.957142	7.65638	6.775833	7.398825	7.599639	6.932149	6.786284	7.436576	6.707739	7.549386	8.952423
GSM1539218_treat	Tumor	7.901948	8.306233	7.368447	8.769943	8.742328	7.671605	7.202903	10.293809	7.406986	6.852623	7.341686	8.347086	6.881502	6.775985	7.297768	6.791171	7.339428	8.69149
GSM1539219_treat	Tumor	8.559214	8.122379	7.909727	9.018982	8.89603	7.272377	7.191362	10.420774	7.174556	6.688879	7.371621	7.803108	6.924488	6.685501	7.334016	6.828376	7.253457	8.332243
GSM1539220_treat	Tumor	7.885868	8.616731	7.827563	8.784318	8.935855	7.590581	7.497744	10.999319	7.649729	6.72131	7.367269	7.702206	7.664465	6.775471	7.407477	6.934695	7.409073	8.782527
GSM1539221_treat	Tumor	8.068421	8.525535	7.633045	9.018006	9.043493	7.76914	7.439378	10.683198	7.390619	6.967867	7.476647	7.551413	6.86322	6.707015	7.711811	6.882825	7.373265	8.707141
GSM1539222_treat	Tumor	8.20226	8.596841	7.355148	8.79886	8.87723	7.494275	7.560149	10.937082	7.487759	6.689692	7.253406	7.830589	7.173659	6.705358	7.450697	6.807032	7.445398	8.730353
GSM1539223_treat	Tumor	8.674833	7.889747	7.800713	9.025062	8.98577	7.313747	7.151168	9.942028	7.251456	6.790797	7.658258	7.683906	6.97535	6.777661	7.372172	6.651342	7.232027	8.332706
GSM1539224_treat	Tumor	8.072644	8.887756	7.323845	8.825893	8.80765	7.55882	7.409644	10.967495	7.711187	6.788862	7.386583	7.443818	6.954094	6.716346	7.95885	6.77407	7.54048	8.730353
GSM1539225_treat	Tumor	8.148412	8.538892	7.287671	8.850119	8.928449	7.7321	7.415215	10.769603	7.466909	6.773098	7.095721	8.049199	6.897782	6.746173	6.955647	6.80461	7.314776	8.800171
GSM1539226_treat	Tumor	8.795816	8.02435	8.219248	9.294434	8.597946	7.538239	7.209739	10.20444	7.4293	6.762776	7.462659	7.80528	6.759159	6.77168	7.001373	6.714455	7.347666	8.416349
GSM1539227_treat	Tumor	8.160831	8.536036	7.269394	8.680921	8.95499	7.64659	7.395314	10.778274	7.261141	6.820716	7.304296	8.131449	7.227227	6.828171	7.067747	6.664312	7.402761	8.836507
GSM1539228_treat	Tumor	7.987665	8.51781	7.282535	8.830911	9.111029	7.57195	7.241434	10.957142	7.285787	6.778339	7.326103	7.421568	7.602787	6.744033	7.556023	6.720994	7.392755	8.698352
GSM1539229_treat	Tumor	8.109373	8.637946	8.223384	8.708411	8.906081	7.677721	7.424278	11.142451	7.422957	6.744957	7.345166	7.966852	7.276257	6.73362	7.565216	6.76252	7.403442	8.708835
GSM1539230_treat	Tumor	8.107173	8.502307	7.773564	8.981931	8.914765	7.482466	7.447085	10.753163	7.329508	6.752617	7.402253	7.781917	7.142364	6.86243	7.08097	6.792713	7.304679	8.610368
GSM1539231_treat	Tumor	7.991142	8.845935	7.473732	8.606928	8.599714	7.631682	7.460862	10.663601	7.611704	6.756849	7.487509	7.666638	7.254906	6.68292	7.796755	6.820575	7.680103	8.81192
GSM1539232_treat	Tumor	7.773621	8.78136	7.151047	8.673829	9.078265	7.530988	7.42472	10.999319	7.521188	6.975264	7.355618	7.746722	8.319298	6.750115	6.959847	6.875368	7.558403	8.803916
GSM1539233_treat	Tumor	8.092752	8.539617	8.184624	8.596109	8.899506	7.722234	7.227983	10.773937	7.228333	6.694983	7.327118	8.168154	7.207386	6.792034	6.880638	6.840732	7.347666	8.545382
GSM1539234_treat	Tumor	7.814427	8.637946	7.524369	8.355488	8.949014	7.752261	7.309511	10.977781	7.344958	6.725713	7.145618	7.912958	7.137806	6.749798	7.095138	6.747158	7.33986	8.804542
GSM1539235_treat	Tumor	8.265081	8.50302	7.315371	9.082148	8.978112	7.7384	6.929759	10.307793	7.428292	6.837642	7.651738	8.003837	7.51444	6.933254	7.422701	6.837547	6.948817	8.778805
GSM1539236_treat	Tumor	8.136205	8.490509	7.503515	8.953426	8.836171	7.683823	7.233261	11.21112	7.422192	6.82137	7.286588	8.180693	6.834946	6.706608	7.157008	6.817326	7.443962	8.697802
GSM1539237_treat	Tumor	7.973675	8.737618	7.273616	8.837592	9.022665	7.5556	7.294179	11.161385	7.288293	6.681644	7.309217	8.159195	7.630171	6.747196	7.492113	6.732606	7.408623	8.469671
GSM1539238_treat	Tumor	7.742645	8.336153	7.487807	8.651401	8.781816	7.573747	7.47759	10.583017	7.317539	6.791997	7.438233	8.010851	7.024996	6.863594	7.228532	6.753241	7.406576	8.563695
GSM1539239_treat	Tumor	8.156229	8.723838	7.342248	8.591471	8.721053	7.540441	7.548505	10.782587	7.432316	6.846883	7.354535	7.901322	7.896005	6.759021	7.868559	6.722885	7.511044	8.655601
GSM1539240_treat	Tumor	7.747844	8.591686	7.720692	8.525836	9.006823	7.582363	7.297945	10.791719	7.459249	6.751362	7.347953	8.238513	7.54764	6.761922	7.134352	6.846981	7.4375	8.586518
GSM1539241_treat	Tumor	7.850671	8.713023	7.674032	8.49162	8.854855	7.663254	7.487325	10.942106	7.495554	6.812475	7.209601	7.992023	7.45385	6.758923	7.533274	6.792042	7.635335	8.73558
