id	CISD1 Expression
GSM1539737_treat	8.132315
GSM1539739_treat	7.837662
GSM1539742_treat	7.928353
GSM1539743_treat	8.428339
GSM1539746_treat	8.360058
GSM1539747_treat	8.427157
GSM1539748_treat	8.024664
GSM1539749_treat	7.786236
GSM1539751_treat	7.64761
GSM1539752_treat	8.305157
GSM1539763_treat	7.48024
GSM1539765_treat	7.630575
GSM1539766_treat	8.438506
GSM1539767_treat	8.168249
GSM1539768_treat	8.023939
GSM1539769_treat	8.033564
GSM1539773_treat	8.245515
GSM1539777_treat	8.348391
GSM1539778_treat	7.965163
GSM1539780_treat	8.366052
GSM1539783_treat	8.148177
GSM1539785_treat	7.932547
GSM1539787_treat	8.333693
GSM1539788_treat	8.279755
GSM1539794_treat	8.099671
GSM1539660_treat	8.247936
GSM1539695_treat	7.939715
GSM1539750_treat	8.39163
GSM1539409_treat	7.982465
GSM1539410_treat	7.773897
GSM1539411_treat	8.214633
GSM1539412_treat	8.02661
GSM1539413_treat	7.904455
GSM1539414_treat	7.974369
GSM1539415_treat	8.568768
GSM1539416_treat	8.138281
GSM1539417_treat	8.236974
GSM1539418_treat	8.447697
GSM1539419_treat	7.609636
GSM1539420_treat	7.69909
GSM1539421_treat	7.853041
GSM1539422_treat	8.314292
GSM1539423_treat	8.170997
GSM1539424_treat	7.809275
GSM1539425_treat	7.806997
GSM1539426_treat	8.165162
GSM1539427_treat	7.876743
GSM1539428_treat	7.912035
GSM1539429_treat	8.258937
GSM1539430_treat	7.659477
GSM1539431_treat	8.059819
GSM1539432_treat	8.223853
GSM1539433_treat	7.954435
GSM1539434_treat	7.791326
GSM1539435_treat	8.250754
GSM1539436_treat	8.316846
GSM1539437_treat	8.031715
GSM1539438_treat	7.655893
GSM1539551_treat	7.774211
GSM1539556_treat	8.339383
GSM1539557_treat	8.064633
GSM1539558_treat	8.351007
GSM1539559_treat	8.261839
GSM1539561_treat	8.571807
GSM1539564_treat	7.855376
GSM1539565_treat	7.528445
GSM1539566_treat	8.232289
GSM1539567_treat	7.945119
GSM1539568_treat	8.32331
GSM1539572_treat	7.783108
GSM1539574_treat	7.857726
GSM1539584_treat	7.778647
GSM1539590_treat	7.956679
GSM1539591_treat	8.187149
GSM1539592_treat	8.006424
GSM1539594_treat	8.073535
GSM1539598_treat	8.053404
GSM1539602_treat	7.936833
GSM1539608_treat	8.038563
GSM1539609_treat	7.963626
GSM1539610_treat	8.015859
GSM1539611_treat	8.319807
GSM1539612_treat	8.234107
GSM1539614_treat	7.93147
GSM1539618_treat	7.920185
GSM1539620_treat	8.060198
GSM1539622_treat	8.220668
GSM1539625_treat	8.446633
GSM1539628_treat	8.281238
GSM1539631_treat	7.937577
GSM1539633_treat	7.773897
GSM1539635_treat	8.304148
